video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Gaming_2160P-348d,Gaming_2160P-348d_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,611,34.118753,69.594965,30,881.1852737894734,83.99981184,965.1850856265946
Gaming_2160P-348d,Gaming_2160P-348d_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,148,31.159326,48.932489,40,725.3885093333334,47.618725696969705,773.0072350303031
Gaming_2160P-348d,Gaming_2160P-348d_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,47,26.916914,20.978171,50,680.1482441741855,27.15245073333333,707.3006949075188
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,170925,50.327779,99.983808,10,29949.15202724252,1577.6035483333335,31526.75557557585
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,67250,43.229619,98.298809,20,20664.283262470035,987.9030433333336,21652.186305803367
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,15081,36.299367,83.531488,30,12380.878252346944,589.2649,12970.143152346944
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,2284,31.235369,50.270974,40,7942.279322391303,376.7960875,8319.075409891304
HDR_2160P-06ae,HDR_2160P-06ae,2160,3840,2160,yuv420p10le,24,4767631,407,27.062092,11.771437,50,6467.035235526316,259.61264,6726.647875526316
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,66989,38.134153,94.215484,10,7827.360476968923,908.9360193370168,8736.296496305938
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,22121,36.32078,85.837761,20,5014.083755327627,590.5004393749997,5604.5841947026265
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,4566,32.840671,62.679531,30,2940.793142795754,292.36668104545464,3233.159823841209
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,698,28.786729,26.006888,40,1952.8382189639951,150.77421528735627,2103.6124342513517
HDR_2160P-06ae,HDR_2160P-06ae_downsample_1080p,1080,1920,1080,yuv420p10le,24,4767631,119,25.313963,0.637746,50,1770.6736879838718,106.19933968253967,1876.8730276664116
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,32170,33.834301,80.134044,10,4118.939029199072,566.6045973846149,4685.543626583687
HDR_2160P-06ae,HDR_2160P-06ae_downsample_720p,720,1280,720,yuv420p10le,24,4767631,10234,32.961973,68.945654,20,2662.6331040359896,345.24500729577454,3007.878111331764
